level,index,front,back
4,0,a,ᜀ
4,1,e,ᜁ
4,2,i,ᜁ
4,3,o,ᜂ
4,4,u,ᜂ
4,10,ba,ᜊ
4,11,be,ᜊᜒ
4,12,bi,ᜊᜒ
4,13,bo,ᜊᜓ
4,14,bu,ᜊᜓ
5,0,ba,ᜊ
5,1,be,ᜊᜒ
5,2,bi,ᜊᜒ
5,3,bo,ᜊᜓ
5,4,bu,ᜊᜓ
5,5,ka,ᜃ
5,6,ke,ᜃᜒ
5,7,ki,ᜃᜒ
5,8,ko,ᜃᜓ
5,9,ku,ᜃᜓ
5,15,da,ᜇ
5,16,de,ᜇᜒ
5,17,di,ᜇᜒ
5,18,do,ᜇᜓ
5,18,du,ᜇᜓ
5,25,ga,ᜄ
5,26,ge,ᜄᜒ
5,27,gi,ᜄᜒ
5,28,go,ᜄᜓ
5,29,gu,ᜄᜓ
6,0,ha,ᜑ
6,1,he,ᜑᜒ
6,2,hi,ᜑᜒ
6,3,ho,ᜑᜓ
6,4,hu,ᜑᜓ
6,10,la,ᜎ
6,11,le,ᜎᜒ
6,12,li,ᜎᜒ
6,13,lo,ᜎᜓ
6,14,lu,ᜎᜓ
6,20,ma,ᜋ
6,21,me,ᜋᜒ
6,22,mi,ᜋᜒ
6,23,mo,ᜋᜓ
6,24,mu,ᜋᜓ
6,30,na,ᜈ
6,31,ne,ᜈᜒ
6,32,ni,ᜈᜒ
6,33,no,ᜈᜓ
6,34,nu,ᜈᜓ
6,40,nga,ᜅ
6,41,nge,ᜅᜒ
6,42,ngi,ᜅᜒ
6,43,ngo,ᜅᜓ
6,44,ngu,ᜅᜓ
7,0,pa,ᜉ
7,1,pe,ᜉᜒ
7,2,pi,ᜉᜒ
7,3,po,ᜉᜓ
7,4,pu,ᜉᜓ
7,5,sa,ᜐ
7,6,se,ᜐᜒ
7,7,si,ᜐᜒ
7,8,so,ᜐᜓ
7,9,su,ᜐᜓ
7,10,ta,ᜆ
7,11,te,ᜆᜒ
7,12,ti,ᜆᜒ
7,13,to,ᜆᜓ
7,14,tu,ᜆᜓ
7,15,wa,ᜏ
7,16,we,ᜏᜒ
7,17,wi,ᜏᜒ
7,18,wo,ᜏᜓ
7,19,wu,ᜏᜓ
7,20,ya,ᜌ
7,21,ye,ᜌᜒ
7,22,yi,ᜌᜒ
7,23,yo,ᜌᜓ
7,24,yu,ᜌᜓ
8,0,ako,ᜀᜃᜓ
8,1,ikaw,ᜁᜃᜏ
8,2,siya,ᜐᜌ
8,3,kami,ᜃᜋᜒ
8,4,kayo,ᜃᜌᜓ
8,5,tayo,ᜆᜌᜓ
8,6,oo,ᜎᜓ
8,7,hindi,ᜑᜒᜈᜒ
8,8,salamat,ᜐᜎᜋᜆ
8,9,paumanhin,ᜉᜊᜋᜈᜒᜈ
8,10,mahal,ᜋᜑᜎ
8,11,kaibigan,ᜃᜁᜒᜊᜈ᜔
8,12,pagkain,ᜉᜄᜃᜒᜈ
8,13,tubig,ᜆᜊᜒᜄ
8,14,araw,ᜀᜇᜏ
8,15,gabi,ᜄᜊᜒ
8,16,bahay,ᜊᜑᜌ
8,17,puno,ᜉᜊᜓ
8,18,bundok,ᜊᜊᜓᜃ
8,19,ilog,ᜁᜎᜓᜄ